,Ad Group,Month,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost,CPC,Revenue,Sale Amount,P&L
0,Shop - 1:1 - Desk - [shop coupon code],7,16038,6504,0.41,1166,0.1,6669,1.03,6402,136770.05,-267.086
1,Shop - 1:1 - Desk - [shop coupon],7,36462,14367,0.39,2188,0.09,13746,0.96,13262,283215.21,-483.951
2,Shop - 1:1 - Desk - [shop discount code],7,3635,1458,0.4,248,0.09,1606,1.1,1723,39165.46,117.136
3,Shop - 1:1 - Desk - [shop promo code],7,26185,10418,0.4,2294,0.12,13278,1.27,13042,284823.48,-235.921
4,Shop - 1:1 - Desk - [shop promo],7,808,282,0.35,61,0.15,391,1.39,337,7717.77,-53.604
5,Shop - 1:1 - Mob - [shop coupon code],7,46507,21756,0.47,1665,0.05,13157,0.6,8550,185824.49,-4606.713
6,Shop - 1:1 - Mob - [shop coupon],7,152394,59177,0.39,2666,0.04,19371,0.33,13699,294536.92,-5672.271
7,Shop - 1:1 - Mob - [shop discount code],7,9950,4283,0.43,347,0.05,2637,0.62,2038,46026.32,-598.993
8,Shop - 1:1 - Mob - [shop promo code],7,57373,27121,0.47,2940,0.07,16946,0.62,14565,321387.88,-2380.616
9,Shop - 1:1 - Mob - [shop promo],7,1875,706,0.38,69,0.07,485,0.69,409,8946.99,-75.734
10,Shop - Exact - Desk - Competitor,7,721,195,0.27,25,0.09,188,0.97,188,3853.27,0.184
11,Shop - Exact - Desk - Coupon Code,7,8053,2678,0.33,392,0.08,2814,1.05,2475,56017.16,-338.63
12,Shop - Exact - Desk - Discount Code,7,2181,539,0.25,70,0.08,577,1.07,449,10689.01,-128.102
13,Shop - Exact - Desk - Free Shipping,7,656,168,0.26,29,0.17,65,0.39,84,2097.29,19.218
14,Shop - Exact - Desk - Offer,7,490,115,0.23,26,0.12,221,1.92,149,3058.02,-71.829
15,Shop - Exact - Desk - Promo Code,7,7366,2693,0.37,536,0.11,3469,1.29,3089,68146.26,-380.31
16,Shop - Exact - Desk - Sale,7,6318,598,0.09,46,0.07,416,0.7,278,5552.73,-138.325
17,Shop - Exact - Mob - Competitor,7,1771,594,0.34,34,0.05,272,0.46,177,3576.13,-95.428
